Titel,Untertitel,Link,Beschreibung,Stichworte
Ute Frevert über Märkte und Solidarität,Conditions for International Solidarity - Jubiläumskonferenz des Instituts für die Wissenschaften vom Menschen (IWM),https://www.bpb.de/mediathek/190807/ute-frevert-ueber-maerkte-und-solidaritaet,Kurzvortrag von Ute Frevert (Yale University) über Märkte und Solidarität.,"Solidarität, Multikulturelle Gesellschaft, Internationale Politik, Kapitalismus, Wirtschaft, Marktwirtschaft"
Va bene?!,Die deutsch-italienischen Beziehungen auf dem Prüfstand,https://www.bpb.de/mediathek/125422/va-bene,Eine Fachkonferenz der Bundeszentrale für politische Bildung für Journalisten/innen sowie politisch Interessierte aus Deutschland und Italien in Zusammenarbeit mit dem Goethe-Institut Italien aus Rom mit Unterstützung des Italienischen Kulturinstitut,"Internationale Beziehungen, europäische Union, Eurokrise, Finanzkrise, Demokratie"
Va bene?! 2011 Tag zwei,Die deutsch-italienischen Beziehungen auf dem Prüfstand,https://www.bpb.de/mediathek/125421/va-bene-2011-tag-zwei,Eine Fachkonferenz der Bundeszentrale für politische Bildung für Journalisten/innen sowie politisch Interessierte aus Deutschland und Italien in Zusammenarbeit mit dem Goethe-Institut Italien aus Rom mit Unterstützung des Italienischen Kulturinstitut,"Internationale Beziehungen, europäische Union, Demokratie, Finanzkrise, Eurokrise"
Verantwortungsvoller Umgang mit Sprache,Inhalt,https://www.bpb.de/mediathek/136305/verantwortungsvoller-umgang-mit-sprache,Nachrichtenmoderator Thomas Kausch über die Verantwortung im Umgang mit Sprache bei Kriegsnachrichten.,"Medien und Kommunikation, Krieg, Journalismus, Ethik, Nachrichten"
Verdun 2014,100 Jahre nach Beginn des Ersten Weltkrieges,https://www.bpb.de/mediathek/187777/verdun-2014,"Junge Deutsche und Franzosen besuchen gemeinsam das Schlachtfeld von Verdun - 100 Jahre nach dem Ersten Weltkrieg. Den ""Grande Guerre"" nehmen sie aufgrund ihrer Sozialisation ganz unteschiedlich wahr.","Verdun, Europäische Integration, Erster Weltkrieg"
Vergessen – Gegenwärtig,"Die Leningrader Blockade: Lücken, Mythen und Politik der Erinnerung",https://www.bpb.de/mediathek/234197/vergessen-gegenwaertig,"Die ""Gegenwart der Vergangenheit"" ist ein vielbemühter Ausspruch. Gerade in Bezug auf den deutschen Krieg gegen die Sowjetunion von 1941 bis 1945 trifft er jedoch den Kern der Sache – zumindest in der heutigen Russischen Föderation. ""Erinnerungslücke","Zweiter Weltkrieg, Zweiter Weltkrieg, Leningrad, Petersburg, Wehrmacht, Geschichtspolitik, Erinnerungspolitik, Geschichtsmythen, Blockade, UdSSR, Hungertod, Ernährungskrieg"
Vergessene Biografien - Migranten und schwarze Menschen im NS,Ein Stück von Das Dokumentartheater Berlin,https://www.bpb.de/mediathek/148647/vergessene-biografien-migranten-und-schwarze-menschen-im-ns,"Wie lebten Migranten und Schwarze währen der NS-Zeit in Deutschland? Was geschah mit ihnen? Wurden sie verfolgt? Wer half ihnen? Wer denunzierte sie? Haben sie überlebt? Diesen Fragen sind Jugendliche des ""Jugendcafé Nightflight"" nachgegangen.","Theater, Nationalsozialismus, kulturelle Bildung, Drittes Reich 1933 - 1945"
Vermeintlich harmlos,Die Argumentationslogik des Ethnopluralismus,https://www.bpb.de/mediathek/230595/vermeintlich-harmlos,Ein nur scheinbarer Widerspruch: Sie sind gegen Flüchtlinge und Einwanderung - und für kulturelle Völkervielfalt! Ethnopluralisten grenzen sich bewusst vom Vokabular des klassischen Rassismus ab. Statt Rassen heißt es Völker und Kulturen. Und die sin,"neue Rechte, Rechte Ideologie, Ethnopluralismus, Rassismus"
Vernetzte Nachbarschaften,Inhalt,https://www.bpb.de/mediathek/307886/vernetzte-nachbarschaften,Auch in der Nachbarschaftsarbeit spielt die Digitalisierung eine immer größere Rolle. Im Interview erklärt Elizabeth Calderón Lüning wie digitale Lernräume in der Nachbarschaft die digitale Souveränität stärken können.,"Nachbarschaft, Nachbarschaftsarbeit, Digitale Bildung, informelles Lernen, kollektives Lernen, Lernräume, vernetzte Nachbarschaft, werkstatt.bpb., Werkstatt, werkstatt.bpb.de"
Vernichten oder aufbewahren?,Stasi-Akten als politische Zeitbombe,https://www.bpb.de/mediathek/755/vernichten-oder-aufbewahren,"Erstmals filmt ein Fernsehteam in den Archiven des Geheimdienstes. KONTRASTE dokumentiert die Hinterlassenschaften des Überwachungsapparates, verschafft der Öffentlichkeit erste Einblicke in die Akten der Stasi.","Ministerium für Staatssicherheit, Archiv, Überwachung, Geheimdienst, DDR 1949 - 1990, BStU"
Vernon & Burns – The Lady Moon Turns Sulky,"Musikvideo aus der Reihe ""Zur Rettung der Popkultur""",https://www.bpb.de/mediathek/623/vernon-burns-the-lady-moon-turns-sulky,"In Sekundenschnelle wechselt die Szenerie, als einzige Konstante steht im Mittelpunkt die menschliche Hand, die in verwegenem Tempo immer neue Formen, Gestalten, Bedeutungen annimmt.","Musikvideo, Musik, Weltraum, Elektronische Musik"
Verschwörungstheorien,Dossier Rechtsextremismus,https://www.bpb.de/mediathek/212137/verschwoerungstheorien,"Rechte Verschwörungstheorien? Johannes Baldauf, zum Zeitpunkt des Interviews bei der Amadeu Antonio-Stiftungm, mittlerweile bei der Online Civil Courage Initiative (OCCI) tätig, beantwortet im Dossier Rechtsextremismus Fragen rund um das Thema und kl","Verschwörungstheorie, Verschwörung, Rechtsextremismus, Nationalismus, Rechtsextreme Szene"
Verteidigung des demokratischen Staatswesens,Die RAF-Prozesse - Ehemalige Bundesanwälte erinnern sich,https://www.bpb.de/mediathek/190764/verteidigung-des-demokratischen-staatswesens,"Warum haben die ehemaligen Bundesanwälte Joachim Lampe, Dr. Peter Morré und Felix Kaul das Staatswesen der BRD gern und engagiert verteidigt?","Rote Armee Fraktion, APO / Studentenbewegung, Terrorismus, Rechtsstaat, Justiz, Demokratie"
Victor Laville,Ein französischer Zwangsarbeiter in Bayern,https://www.bpb.de/mediathek/240055/victor-laville,1943: Im Bahnkonvoi nach Bayern ,"Zwangsarbeit, Erinnerungskultur, Nationalsozialismus, Zweiter Weltkrieg, Zweiter Weltkrieg, Konzentrationslager"
Videobox der bpb beim Bürgerfest des Bundespräsidenten 2014,Inhalt,https://www.bpb.de/mediathek/192016/videobox-der-bpb-beim-buergerfest-des-bundespraesidenten-2014,Statements von Bürger/-innen zum Ehrenamt am Bürgerfest des Bundespräsidenten 2014.,"Engagement, Bundespräsident"
"Videodokumentation der Veranstaltungsreihe ""Wie wählt Amerika?""",Wie wählt Amerika?,https://www.bpb.de/mediathek/190823/videodokumentation-der-veranstaltungsreihe-wie-waehlt-amerika,"Stimmen von der Veranstaltungsreihe ""Wie wählt Amerika? Einblicke und Perspektiven"".","Präsidentschaftswahl, Wahlkampf, Bilaterale Beziehungen, Barack Obama, Wahl"
Viel Lärm um nichts: Was bedeutet Netzneutralität für den Verbraucher?,Weitere Informationen,https://www.bpb.de/mediathek/244757/viel-laerm-um-nichts-was-bedeutet-netzneutralitaet-fuer-den-verbraucher,"Künstlich gedrosselter Verkehr, teure Extrapakete und ein geteiltes Netz in dem die Verbraucher_innen das Nachsehen haben, befürchten die einen. Gerechte Verteilung von Leistung, schnelleren Zugang zu datenintensiven Inhalten und eine Entlastung der ","Verbraucherschutz, BITKOM, Netzneutralität"
Viele Geschichten machen Geschichte,Thomas Schunck,https://www.bpb.de/mediathek/726/viele-geschichten-machen-geschichte,Der Journalist spricht über die erfolgreiche Umsetzung lokalhistorischer Themen im Print-Journalismus.,"Deutschland 1945 -, Druckmedien, Journalismus, Lokaljournalismus"
Viktor Mayer-Schönberger bei den Bonner Gesprächen 2016,"""Big Data und die Ambivalenz der Freiheit zur Irrationalität""",https://www.bpb.de/mediathek/226747/viktor-mayer-schoenberger-bei-den-bonner-gespraechen-2016,"Viktor Mayer-Schönberger, der weltbekannte Wissenschaftler und Autor mehrerer Grundsatzwerke zu ""Big Data"" führte bei den Bonner Gesprächen mit seiner faszinierenden Vortragsweise in das herausfordernde Thema ein. ","Big Data, Digitalisierung, Qualitative Datenanalyse"
Village without Words,"Italien 1950, s/w",https://www.bpb.de/mediathek/206876/village-without-words,"""Village without words"" gilt als ""Mutter aller Marshallplan-Filme"". Alle Versatzstücke, die auch in anderen Filmen zu sehen sind, treten hier auf – losgelöst vom individuellen Kontext.","Marshallplan, European Recovery Program, Alliierte Militärverwaltung 1945 - 1949, Nachkriegszeit"
Virtual Anne Frank Museum,Gerrit Netten auf httpasts://digitalmemoryonthenet am 15.04.2011,https://www.bpb.de/mediathek/862/virtual-anne-frank-museum,"Gerrit Netten (Anne Frank House, Amsterdam) gave this lecture at the panel ""Global remembrance culture on the net? – Websites and educational offerings internationally"" at the international conference httpasts://digitalmemoryonthenet in Berlin, on Ap","Erinnerungskultur, Geschichte, Internet, Geschichtsvermittlung, Neue Medien"
Viviane Reding stellt Vorschlag für Datenschutzreform vor,Ausschnitt aus Democracy - Im Rausch der Daten,https://www.bpb.de/mediathek/260237/viviane-reding-stellt-vorschlag-fuer-datenschutzreform-vor,"Ausschnitt aus dem Film Dokumentarfilm ""Democracy - Im Rausch der Daten"". Eine fesselnde Geschichte über die Entstehung der Europäischen Datenschutzrichtlinie. Gleichzeitig ein spannender Einblick in den Gesetzgebungsprozess der Europäischen Union. A","europäische Union, EU, Datenschutz, Europäisches Parlament, Internetregulierung, Internetwirtschaft, Demokratie, Lobbyismus"
"Volker Weiß: The Heirs of Fascism? Neue Rechte, Nouvelle Droite, Alt-Right",Weitere Informationen,https://www.bpb.de/mediathek/261405/volker-weiss-the-heirs-of-fascism-neue-rechte-nouvelle-droite-alt-right,"Lecture at the Mapping Memories Conference 2017: ""Fascism and Antifascism in Our Time: Critical Investigations""","Faschismus, Antifaschismus, Geschichte, Fascism, Antifascism, History"
Volkmar Uhlig - Algorithmen und Big Data,Weitere Informationen,https://www.bpb.de/mediathek/244768/volkmar-uhlig-algorithmen-und-big-data,"Big Data wird uns helfen, bessere Entscheidungen zu treffen, glaubt Dr. Volkmar Uhlig. Auf den Data Days 2014 in Berlin haben wir ihn getroffen um über die Vorteile und Gefahren von Big Data zu sprechen.","Big Data, Netzkultur, Überwachung"
Vom Einläuten der Revolution,Inhalt,https://www.bpb.de/mediathek/227991/vom-einlaeuten-der-revolution,"Rund um den 7. Oktober 1989 herrschte Ausnahmezustand in mehreren Städten der DDR. Polizei, Betriebskampfgruppen und Stasi gingen gewaltsam gegen Demonstranten vor, die friedlich für Reformen, Demokratie und Reisefreiheit eintraten - und sich mit Ker","Ministerium für Staatssicherheit, Stasi, Demonstration, Opposition, SED, Friedliche Revolution, Ausreise- und Demokratiebewegung"
Vom Overhead-Projektor zu digitalen Medien: „Wir müssen bei den Lehramtsstudierenden ein Umdenken erreichen“,Weitere Informationen,https://www.bpb.de/mediathek/258631/vom-overhead-projektor-zu-digitalen-medien-wir-muessen-bei-den-lehramtsstudierenden-ein-umdenken-erreichen,"Wie gelingt der sinnvolle und kompetente Einsatz digitaler Medien im Unterricht? Ein wichtiger Ansatzpunkt liegt in der Lehreraus- und -fortbildung, sagt Prof. Julia Knopf. Welche Voraussetzungen geschaffen werden müssen, wie weit wir mit der Entwick","Digitale Medien, Lehrer, Digitales Lernen, werkstatt.bpb, Digitale Bildung, Werkstatt"
Vom Rechtsbeuger zum Rechtsanwalt,Die Karriere von DDR-Juristen,https://www.bpb.de/mediathek/447/vom-rechtsbeuger-zum-rechtsanwalt,"In der DDR haben sie Bürgerrechtler zu Gefängnisstrafen verurteilt. KONTRASTE deckt auf, wie DDR-Richter nach dem Zusammenbruch des SED-Regimes nahtlos ins neue Rechtssystem wechseln.","Justizverwaltung, Rechtsstaat, Rechtsnormen, Feindbild, DDR 1949 - 1990, politischer Gefangener"
Vom Wissenschaftler zum Journalisten,Interview mit dem Zeitzeugen Walter Süß,https://www.bpb.de/mediathek/562/vom-wissenschaftler-zum-journalisten,"Der Mitarbeiter der BstU berichtet, wie er als Reporter den 15. Januar 1990 in der Normannenstraße erlebte.","DDR 1949 - 1990 / Opposition, Ministerium für Staatssicherheit, BStU, Aufarbeitung"
Vom Wissensvermittler zum Moderator,Weitere Informationen,https://www.bpb.de/mediathek/258998/vom-wissensvermittler-zum-moderator,"Die Digitalisierung des Bildungsbereichs stellt vielfältige neue Anforderungen an den Beruf der Lehrenden. Es geht um veränderte Kompetenzen und Fähigkeiten sowohl von Lehrenden als auch von Lernenden, um einen anderen Fokus auf Lehrinhalte sowie um ","Lehrende der Zukunft, Lehrerbildung, Digitalisierung"
Vom richtigen Umgang mit Rechter Musik,Interview mit David Begrich,https://www.bpb.de/mediathek/194980/vom-richtigen-umgang-mit-rechter-musik,"David Begrich von Miteinander e.V. Rechte Musik, deren Gefahr, Verbote, konsequente Ablehnung, Jugendarbeit und  Prävention.","Musik, Rechtsrock, Nazi, Neonazi, Rechtsextremismus, Soziale Gruppe, Neonazismus"
Von Blicken und Brandbomben. Antimuslimischer Rassismus heute,Inhalt,https://www.bpb.de/mediathek/298265/von-blicken-und-brandbomben-antimuslimischer-rassismus-heute,"Film zur Tagung ""Von Blicken und Brandbomben. Antimuslimischer Rassismus heute""","Muslime, Rassismus, Diskriminierung, Prävention, Muslimfeindlichkeit, Islamfeindlichkeit, Hass, Vorurteile, Stigmatisierung"
Von Lernbots und Übersetzungsmaschinen,Interview: Fremdsprachen lernen mit digitalen Mitteln,https://www.bpb.de/mediathek/270041/von-lernbots-und-uebersetzungsmaschinen,"Welche Möglichkeiten gibt es, das Erlernen von Fremdsprachen mit digitaler Technik zu unterstützen? Medienlinguist Jannis Androutsopoulos erklärt, wie Lernbots und maschinelle Übersetzung funktionieren.","Digitale Bildung, Lernbots, maschinelle Übersetzung, Fremdsprachen, Lehrende, Bildung Schule"
Von Utøya bis Christchurch - Symbole eines neuen Terrorismus?,Inhalt,https://www.bpb.de/mediathek/297289/von-utya-bis-christchurch-symbole-eines-neuen-terrorismus,"Fachvortrag von Prof. Dr. Chris Allen, Centre for Hate Studies, University of Leicester","Terror, Rassismus, Muslime, Hassverbrechen, antimuslimisch, Islamfeindlichkeit, Muslimfeindlichkeit"
Von Utøya bis Christchurch - Symbole eines neuen Terrorismus?,Inhalt,https://www.bpb.de/mediathek/298269/von-utya-bis-christchurch-symbole-eines-neuen-terrorismus,"Fachvortrag von Prof. Dr. Chris Allen, Centre for Hate Studies, University of Leicester","Terror, Rassismus, Muslime, Hassverbrechen, antimuslimisch, Islamfeindlichkeit, Muslimfeindlichkeit"
Von Wutbürgern und patriotischen Europäern. Eine Stilkritik der politischen Kultur in Deutschland,2. Teil: Podiumsgespräch und Publikumsfragen,https://www.bpb.de/mediathek/217581/von-wutbuergern-und-patriotischen-europaeern-eine-stilkritik-der-politischen-kultur-in-deutschland,PEGIDA und andere analoge Protestformate wenden sich mit oft drastischen Worten und Begriffen aktuell gegen die Flüchtlingspolitik der Großen Koalition. ,"PEGIDA, Protest, Demonstration, Bürgergesellschaft, Demokratie, Medien, Presse, politische Kultur, Flüchtling, Zuwanderung, Einwanderung, irreguläre Migration, Migration"
Von Wutbürgern und patriotischen Europäern. Eine Stilkritik der politischen Kultur in Deutschland,1. Teil: Grußwort Krüger und Impulsvortrag Rucht,https://www.bpb.de/mediathek/217580/von-wutbuergern-und-patriotischen-europaeern-eine-stilkritik-der-politischen-kultur-in-deutschland,PEGIDA und andere analoge Protestformate wenden sich mit oft drastischen Worten und Begriffen aktuell gegen die Flüchtlingspolitik der Großen Koalition. ,"PEGIDA, Protest, Demonstration, Bürgergesellschaft, Demokratie, Medien, Presse, politische Kultur, Flüchtling, Zuwanderung, Einwanderung, irreguläre Migration, Migration"
"Von der ""Schlacht am Tegeler Weg"" zu den Übergriffen am Neuen Pferdemarkt","Zur ""Ästhetik"" linker Militanz",https://www.bpb.de/mediathek/302000/von-der-schlacht-am-tegeler-weg-zu-den-uebergriffen-am-neuen-pferdemarkt,"Interview mit Dr. Wolfgang Kraushaar, Hamburger Stiftung zur Förderung von Wissenschaft und Kultur","linke Militanz, Demonstrationen, Protestbewegungen"
"Von der ""Schlacht am Tegeler Weg"" zu den Übergriffen am Neuen Pferdemarkt","Zur ""Ästhetik"" linker Militanz",https://www.bpb.de/mediathek/302091/von-der-schlacht-am-tegeler-weg-zu-den-uebergriffen-am-neuen-pferdemarkt,"Vortrag von Dr. Wolfgang Kraushaar, Hamburger Stiftung zur Förderung von Wissenschaft und Kultur","linke Militanz, Demonstrationen, Protestbewegungen, Ästhetik"
Von der Stasi zum BGS,Alte Schnüffler in neuen Uniformen,https://www.bpb.de/mediathek/729/von-der-stasi-zum-bgs,An den DDR-Grenzen kontrollierten Stasi-Offiziere die Pässe. KONTRASTE enthüllt: Jetzt arbeiten dieselben Leute für den Bundesgrenzschutz.,"Schießbefehl, Deutsche Einheit, Deutschland Östliche Länder, Bundespolizei, Deutsch-deutsche Grenze, DDR 1949 - 1990, Rechtsstaat"
Von der Stasi zum BGS,Alte Schnüffler in neuen Uniformen,https://www.bpb.de/mediathek/548/von-der-stasi-zum-bgs,An den DDR-Grenzen kontrollierten Stasi-Offiziere die Pässe. KONTRASTE enthüllt: Jetzt arbeiten dieselben Leute für den Bundesgrenzschutz.,"Deutsche Einheit, Schießbefehl, Wiedervereinigung, Rechtsstaat, Ministerium für Staatssicherheit"
Vor 25 Jahren: Die rassistisch motivierten Ausschreitungen von Rostock-Lichtenhagen,Hintergrund aktuell - zum Nachhören,https://www.bpb.de/mediathek/254693/vor-25-jahren-die-rassistisch-motivierten-ausschreitungen-von-rostock-lichtenhagen,Im August 1992 griffen Randalierer im Rostocker Stadtteil Lichtenhagen unter dem Beifall und der Beteiligung Tausender Anwohner mehrere Tage ein Asylbewerberheim und eine Unterkunft vietnamesischer Vertragsarbeiter an. Den rassistischen Ausschreitung,"Rostock-Lichtenhagen, Rechtsextremismus, Rassismus, Gewalt, Asylrecht, Drittstaatenregelung, europäischer Gerichtshof"
Vor 25 Jahren: Luftbrücke nach Sarajevo,Hintergrund aktuell - zum Nachhören,https://www.bpb.de/mediathek/250876/vor-25-jahren-luftbruecke-nach-sarajevo,Am 2. Juli 1992 wurde die Luftbrücke nach Sarajevo errichtet. 44 Monate lang hat die NATO die belagerte Stadt während des Bosnien-Krieges mit Nahrung und Lebensnotwendigem versorgt. Noch heute sind die Folgen des Krieges zu spüren.,"Bosnien-Krieg, Nato, Balkan, Krieg"
